marker,verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_label,exact_match_to_later_edition
*,1:1,1,"This verse, known as the “Basmalah,” occupies a special position in the Quran. It is the opening statement of every sura, ex cept Sura 9, and it constitutes the foundation upon which the Quran’s 19-based mathematical miracle is built (App. 1). The Basmalah consists of 19 Arabic letters, and its constituent words [Bism Allah Al-Rahman Al-Raheem] occur in the Quran in multiples of 19: 19, 2698, 57, and 114 times, respectively. Thus, the reader is handed at the outset tangible proof that this is not a human-made book. Numerous mathematical phenomena are connected with this verse. For example, the absence of Basmalah from Sura 9 is com pensated for 19 suras later; Sura 27 contains two Basmalahs (see Appendix 29 and Footnote 27:30). Thus, the count of all Basmalahs is restored to 114, 19x6. Additionally, when we add the sura numbers from the missing Basmalah (Sura 9) to the extra Bas malah (Sura 27) [9+10+11+.... +27], the total comes to 342, 19x18. This total, remarkably, is also the number of words between the two Basmalahs of Sura 27. As detailed in Appendix 1, the Quran’s mathematical code is so vast, and so intricate that no force on earth could possibly imitate it, let alone manufacture it (17:88).","This verse, known as the “Basmalah,”
occupies a special position in the Quran. It
is the opening statement of every sura, ex
cept Sura 9, and it constitutes the founda
tion upon which the Quran’s 19-based
mathematical miracle is built (App. 1).
The Basmalah consists of 19 Arabic let
ters, and its constituent words [Bism Allah
Al-Rahman Al-Raheem] occur in the Quran
in multiples of 19: 19, 2698, 57, and 114
times, respectively. Thus, the reader is
handed at the outset tangible proof that
this is not a human-made book.
Numerous mathematical phenomena are
connected with this verse. For example, the absence of Basmalah from Sura 9 is com
pensated for 19 suras later; Sura 27 contains two Basmalahs (see Appendix 29 and
Footnote 27:30). Thus, the count of all Basmalahs is restored to 114, 19x6. Additionally,
when we add the sura numbers from the missing Basmalah (Sura 9) to the extra Bas
malah (Sura 27) [9+10+11+.... +27], the total comes to 342, 19x18. This total,
remarkably, is also the number of words between the two Basmalahs of Sura 27.
As detailed in Appendix 1, the Quran’s mathematical code is so vast, and so intricate
that no force on earth could possibly imitate it, let alone manufacture it (17:88).",20,1,"[39.25, 331.548, 482.89, 660.947]","[0.075787, 0.463898, 0.9324, 0.924789]","The first verse in the Quran represents the foundation upon which a superhuman 19-based mathematical miracle is built. This important statement consists of 19 Arabic letters, and every word in it occurs in the whole Quran in multiples of 19 (see Appendices 1 & 29 for the details).",False
*,2:1,2,"These initials remained a divinely guarded secret for 1400 years. Hundreds of Muslim and Orientalist scholars tried in vain to decipher their significance. Ob viously, the Almighty author of the Quran has willed that the decoding of these initials shall be reserved for a specific per son, in a specific place, at a specific time (see Appendicies 1, 2, and 26). Now we recognize these initials as a major component of the Quran’s extraordinary mathematical code. The meaning of A.L.M. is pointed out in Verse 2: “This scripture is infallible.” This is incontrovertibly proven by the fact that the frequencies of occurrence of these three initials in this sura are 4502, 3202, and 2195, respectively. The sum of these numbers is 9899, or 19x521. Thus, these most frequent letters of the Arabic language did not suffer any distortion, addition, or loss. These same initials also prefix Suras 3, 29, 30, 31, and 32. Their frequencies of occurrence add up to multiples of 19 in each one of these suras.","These initials remained a divinely
guarded secret for 1400 years. Hundreds
of Muslim and Orientalist scholars tried
in vain to decipher their significance. Ob
viously, the Almighty author of the Quran
has willed that the decoding of these ini
tials shall be reserved for a specific per
son, in a specific place, at a specific time
(see Appendicies 1, 2, and 26). Now we
recognize these initials as a major com
ponent of the
Quran’s
extraordinary
mathematical code.
The meaning of A.L.M. is pointed out in Verse 2: “This scripture is infallible.” This is
incontrovertibly proven by the fact that the frequencies of occurrence of these three
initials in this sura are 4502, 3202, and 2195, respectively. The sum of these numbers is
9899, or 19x521. Thus, these most frequent letters of the Arabic language did not suffer
any distortion, addition, or loss. These same initials also prefix Suras 3, 29, 30, 31, and
32. Their frequencies of occurrence add up to multiples of 19 in each one of these suras.",21,2,"[38.5, 376.761, 480.44, 620.659]","[0.074339, 0.52716, 0.927669, 0.868419]","These initials remained a divinely guarded secret for 1400 years. Now we recognize them as a major component of the Quran's mathematical miracle (see Appendices 1, 2, 24, and 26). The meaning of A.L.M. is pointed out in Verse 2: ""This scripture is infallible."" This is incontrovertibly proven by the fact that the frequencies of occurrence of these three initials in this sura are 4502, 3202, and 2195, respectively. The sum of these numbers is 9899, or 19x521. Thus, these most frequent letters of the Arabic language are mathematically placed according to a super-human pattern. These same initials also prefix Suras 3, 29, 30, 31, and 32, and their frequencies of occurrence add up to multiples of 19 in each one of these suras.",False
*,2:3,2,See Appendix 15.,See Appendix 15.,21,2,"[40.45, 630.661, 147.865, 641.661]","[0.078104, 0.882414, 0.285509, 0.897805]","Since the Contact Prayers are decreed five times a day, they constitute the prime source of nourishment for our souls. Along with all other practices in Submission, the Contact Prayers were originally revealed through Abraham (21:73, 22:78). Although these five daily prayers were practiced before the revelation of the Quran, each Contact Prayer is specifically mentioned in the Quran (24:58, 11:114, 17:78, & 2:238). Appendices 1 & 15 provide physical evidence supporting all the details of the Contact Prayers, including the number of units (Rak'aas) and the numbers of bowings, prostrations, and Tashahhuds in each prayer.

±±2:3 When God uses the plural tense, this indicates that other entities, usually the angels, are involved. When God spoke to Moses, the singular form was used (20:12- 14). See Appendix 10.",False
**,2:3,2,See Appendix 10.,See Appendix 10.,21,2,"[38.5, 651.311, 473.656, 660.741]","[0.074339, 0.911307, 0.91457, 0.924501]","Since the Contact Prayers are decreed five times a day, they constitute the prime source of nourishment for our souls. Along with all other practices in Submission, the Contact Prayers were originally revealed through Abraham (21:73, 22:78). Although these five daily prayers were practiced before the revelation of the Quran, each Contact Prayer is specifically mentioned in the Quran (24:58, 11:114, 17:78, & 2:238). Appendices 1 & 15 provide physical evidence supporting all the details of the Contact Prayers, including the number of units (Rak'aas) and the numbers of bowings, prostrations, and Tashahhuds in each prayer.

±±2:3 When God uses the plural tense, this indicates that other entities, usually the angels, are involved. When God spoke to Moses, the singular form was used (20:12- 14). See Appendix 10.",False
*,2:20,2,“He” and “she” do not necessarily imply natural gender in Arabic (Appendix 4).,“H e” and “she” do not necessarily imply natural gender in Arabic (Appendix 4).,23,4,"[38.75, 586.761, 478.282, 599.668]","[0.074821, 0.820989, 0.923503, 0.839049]","""He"" and ""she"" do not necessarily imply natural gender in Arabic (Appendix 4).",False
*,2:23-24,2,"The Quran’s inimitable mathematical code points to Rashad Khalifa as God’s servant mentioned here. Many literary giants, including Al-Mutanabby and Taha Hussein, have answered the literary challenge. Therefore, it is the Quran’s mathematical code revealed through Rashad Khalifa that is the real challenge; it can never be imitated. See Appendices 1, 2, 24, and 26 for the proof.","The Quran’s inimitable mathematical code points to Rashad Khalifa as God’s
servant mentioned here. Many literary giants, including Al-Mutanabby and Taha Hus
sein, have answered the literary challenge. Therefore, it is the Quran’s mathematical
code revealed through Rashad Khalifa that is the real challenge; it can never be im
itated. See Appendices 1, 2, 24, and 26 for the proof.",23,4,"[38.75, 599.668, 478.282, 664.208]","[0.074821, 0.839049, 0.923503, 0.929352]","The Quran's miraculous mathematical code provides numerous proofs as it spells out the name ""Rashad Khalifa"" as God's servant mentioned here. Some literary giants, including Al-Mutanabby and Taha Hussein, have answered the literary challenge, but they had no awareness of the Quran's mathematical composition. It is the Quran's mathematical code, revealed through God's Messenger of the Covenant, Rashad Khalifa, that is the real challenge—for it can never be imitated. See Appendices 1, 2, 24, & 26 for the detailed proofs.",False
*,2:28,2,"Consistently throughout the Quran, our Creator informs us that we go through two deaths and two lives (see 40:11).","Consistently throughout the Quran, our Creator informs us that we go through
two deaths and two lives (see 40:11).",24,5,"[40.9, 602.811, 477.708, 627.261]","[0.078973, 0.843446, 0.922394, 0.877656]","The righteous do not really die; they go straight to Heaven. When their interim on this earth comes to an end, the angels of death simply invite them to go to the same Paradise where Adam and Eve once lived (2:154, 3:169, 8:24, 22:58, 16:32, 36:20-27, 44:56, 89:27-30). Thus, while the righteous experience only the first death following our original sin, the unrighteous go through two deaths (40:11). At the time of death, the disbelievers know their miserable fate (8:50, 47:27), then they suffer a continuous nightmare that lasts until Hell is created (40:46, 89:23, Appendix 17).",False
*,2:24-26,2,See Appendix 5.,See Appendix 5.,24,5,"[39.7, 629.561, 477.456, 642.027]","[0.076656, 0.880874, 0.921908, 0.898317]",,False
*,2:29,2,"Our universe with its billion galaxies, spanning distances of billions of light years, is the smallest and innermost of the seven universes (Appendix 6).","Our universe with its billion galaxies, spanning distances of billions of light years,
is the smallest and innermost of the seven universes (Appendix 6).",24,5,"[39.7, 642.027, 477.456, 666.961]","[0.076656, 0.898317, 0.921908, 0.933204]","Our universe with its billion galaxies, spanning distances of billions of light years, is the smallest and innermost of seven universes (Appendix 6). Please look up 41:10-11.",False
*,2:30-37,2,These verses provide us with the answers to such crucial questions as: “Why are we here?” and “What is the purpose of our life?” See Appendix 7.,"These verses provide us with the answers to such crucial questions as: “Why
are we here?” and “What is the purpose of our life?” See Appendix 7.",25,6,"[39.95, 614.461, 477.723, 638.911]","[0.077138, 0.859747, 0.922423, 0.893957]","These verses answer such crucial questions as: ""Why are we here?"" (See Appendix 7).",False
*,2:37,2,"Similarly, God gives us specific words, the words of Sura 1, in order to establish contact with Him during our contact prayers (Appendix 15).","Similarly, God gives us specific words, the words of Sura 1, in order to establish
contact with Him during our contact prayers (Appendix 15).",25,6,"[39.5, 640.861, 476.549, 661.781]","[0.07627, 0.896685, 0.920156, 0.925956]","Similarly, God has given us specific, mathematically coded words, the words of Sura 1, to establish contact with Him (see Footnote 1:1 and Appendix 15).",False
*,2:67-73,2,"See the story of the heifer in the Bible’s Book of Numbers, Chapter 19.","See the story of the heifer in the Bible’s Book of Numbers, Chapter 19.",29,10,"[38.5, 654.698, 472.252, 664.498]","[0.074339, 0.916046, 0.911859, 0.929758]",,False
*,2:104,2,The word “Raa'ena” was abused by some Hebrew-speaking people who twisted their tongues to make it sound like a dirty word (see also 4:46).,"The word “Raa'ena” was abused by some Hebrew-speaking people who twisted
their tongues to make it sound like a dirty word (see also 4:46).",35,16,"[40.7, 641.598, 477.802, 663.05]","[0.078587, 0.897717, 0.922576, 0.927732]","The word ""Raa'ena"" was abused by some Hebrew-speaking people, and twisted to sound like a dirty word (see also 4:46).",False
*,2:106,2,"As detailed in Appendix One, the Quran’s mathematical miracle is perpetual and is far greater than all previous miracles (see 34:45). Like the Quran itself, it confirms and supersedes all previous miracles (74:35).","As detailed in Appendix One, the Quran’s mathematical miracle is perpetual
and is far greater than all previous miracles (see 34:45). Like the Quran itself, it con
firms and supersedes all previous miracles (74:35).",36,17,"[39.25, 622.748, 480.794, 656.771]","[0.075787, 0.871342, 0.928353, 0.918946]","The Quran's mathematical miracle is perpetual & greater than previous miracles (34:45, 74:35). Like the Quran itself, it confirms, consummates, and supersedes all previous miracles.",False
*,2:118,2,"When one attains certainty, no miracle can affect his decision to join God’s kingdom. If God permitted anyone who has not attained certainty to witness an ex traordinary miracle, this would constitute divine interference.","When one attains certainty, no miracle can affect his decision to join God’s
kingdom. If God permitted anyone who has not attained certainty to witness an ex
traordinary miracle, this would constitute divine interference.",37,18,"[40.7, 615.698, 479.072, 653.847]","[0.078587, 0.861478, 0.925028, 0.914855]",,False
*,2:119,2,"For the exact identity of this messenger, please see Appendix Two.","For the exact identity of this messenger, please see Appendix Two.",37,18,"[40.7, 654.698, 474.092, 664.55]","[0.078587, 0.916046, 0.915412, 0.929831]","It is my obligation to point out that the identity of this messenger is confirmed to be ""Rashad Khalifa,"" God's Messenger of the Covenant. By adding the gematrical value of ""Rashad"" (505), plus the gematrical value of ""Khalifa"" (725), plus the verse number (119), we get 1349, a multiple of 19. See 3:81 and Appendix Two.",False
*,2:127-132,2,"When the Quran was revealed, all rites and duties of the religion were already in existence. Note that the expression: “God has pointed out the religion for you” (2:132) consists of 19 Arabic letters, the word “God” is No. 78, and Verse 78 oi Sura 22 informs us that Abraham is the father of Islam. See 22:78 and App. 9 & 26. I","When the Quran was revealed, all rites and duties of the religion were
already in existence. Note that the expression: “God has pointed out the religion for
you” (2:132) consists of 19 Arabic letters, the word “God” is No. 78, and Verse 78 oi
Sura 22 informs us that Abraham is the father of Islam. See 22:78 and App. 9 & 26.
I",39,20,"[39.95, 614.598, 478.466, 677.053]","[0.077138, 0.859938, 0.923858, 0.947325]",,False
