Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
MAT	1	1	vpg1	figs-metaphor	Ἰησοῦ Χριστοῦ, υἱοῦ Δαυεὶδ, υἱοῦ Ἀβραάμ	1	of Jesus Christ, son of David, son of Abraham	Here, **son** means “descendant.” If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “of Jesus Christ, descendant of King David, who was a descendent of Abraham” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 1:1
MAT	1	16	b3bm	figs-activepassive	Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς	1	of Mary, by whom Jesus was born	If your language does not use this passive form, you can state this in active form. Alternate translation: “Mary, who gave birth to Jesus” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:16
MAT	1	16	z2rg	figs-activepassive	ὁ λεγόμενος Χριστός	1	who is called Christ	If your language does not use this passive form, you can state this in active form. Alternate translation: “whom people called Christ” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:16
MAT	1	18	cqt1	figs-activepassive	μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ	1	His mother, Mary, having been engaged to marry Joseph	Mary was given by her parents to Joseph to marry him. This was common in their culture. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Mary’s parents promised to Joseph that Mary, Jesus’ mother, would marry him” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:18
MAT	1	18	xvk1	figs-euphemism	πρὶν…συνελθεῖν αὐτοὺς	1	before they came together	This may refer to Mary and Joseph having sexual relations together. If this would be misunderstood in your language, use a different polite way of referring to this or you could state this plainly. Alternate translation: “before they had united sexually” or “joined in physical union” (See: [[rc://en/ta/man/translate/figs-euphemism]])	MAT 1:18
MAT	1	18	in4a	figs-activepassive	εὑρέθη ἐν γαστρὶ ἔχουσα	1	was found having in the womb	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “they realized that she was going to have a baby” or “it became known that she was pregnant” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:18
MAT	1	18	q6y8	figs-idiom	εὑρέθη ἐν γαστρὶ ἔχουσα	1		This is an idiom meaning people discovered that she was pregnant. If your readers would not understand this, you could use an equivalent idiom or use plain language. Alternate translation: (1) “Joseph found out that she was pregnant” or (2), more generally “some people discovered that she was pregnant” (See: [[rc://en/ta/man/translate/figs-idiom]])	MAT 1:18
MAT	1	18	a71d	figs-explicit	ἐκ Πνεύματος Ἁγίου	1	by the Holy Spirit	The power of the **Holy Spirit** had caused Mary to have a baby before she had slept with a man. If it would be helpful to your readers, you could express that explicitly. Alternate translation: “through the Holy Spirit allowing her to be pregnant without sleeping with a man” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 1:18
MAT	1	20	lc8r	figs-metaphor	υἱὸς Δαυείδ	1	son of David	Here, **son** means “descendant.” If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “Descendant of King David” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 1:20
MAT	1	20	va5e	figs-activepassive	τὸ…ἐν αὐτῇ γεννηθὲν ἐκ Πνεύματός ἐστιν Ἁγίου	1	the one who has been conceived in her is from the Holy Spirit	If your language does not use this passive form, you can state this in active form. Alternate translation: “the Holy Spirit caused Mary to become pregnant with this child” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:20
MAT	1	22	c1vw	figs-activepassive	τὸ ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ προφήτου	1	what was spoken by the Lord through the prophet	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “what the Lord told the prophet to write long ago” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 1:22
MAT	1	22	p39k	figs-explicit	τοῦ προφήτου	1	the prophet	There were many prophets. Matthew was speaking specifically of Isaiah. If it would be helpful to your readers, you could express that explicitly. Alternate translation: “the prophet Isaiah” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 1:22
MAT	1	23	wlft	figs-metaphor	ἰδοὺ	1		The term **behold** focuses the attention of the listener on what the speaker is about to say. Though it literally means “look” or “see,” in this case seeing figuratively means giving notice and attention. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “Pay attention to what I am saying to you!” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 1:23
MAT	1	25	i7p5	figs-euphemism	οὐκ ἐγίνωσκεν αὐτὴν	1	he did not know her	Mark uses a polite expression to say that they had not engaged in sexual activity. Alternate translation: “He did not have sexual with her” (See: [[rc://en/ta/man/translate/figs-euphemism]])	MAT 1:25
MAT	2	2	zj7c	figs-explicit	αὐτοῦ τὸν ἀστέρα	1	his star	They were not saying that the baby was the owner of the **star**, but rather that this star was directing them to where the child was. If it would be helpful to your readers, you could express that explicitly. Alternate translation: “the star that tells about him” or “the star that is associated with his birth” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 2:2
MAT	2	3	qu3d	figs-metonymy	πᾶσα Ἱεροσόλυμα	1	all Jerusalem	Here, **Jerusalem** refers to the people who live in Jerusalem. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “all the people in Jerusalem” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 2:3
MAT	2	3	b0gt	figs-ellipsis	καὶ πᾶσα Ἱεροσόλυμα μετ’ αὐτοῦ	1		Matthew left out some words in this phrase that might be needed in certain languages to make a full sentence. If your readers might misunderstand this, you could supply these words from the context. Alternate translation: “And many in Jerusalem were troubled along with him” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	MAT 2:3
MAT	2	3	mc1r	figs-hyperbole	πᾶσα Ἱεροσόλυμα	1	all Jerusalem	Here, **all** means “many.” Matthew is exaggerating to emphasize how many people were worried. If this would be misunderstood in your language, you could use an equivalent expression from your language. Alternate translation: “many of the people in Jerusalem” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	MAT 2:3
MAT	2	4	ne4v	figs-quotations	ἐπυνθάνετο παρ’ αὐτῶν ποῦ ὁ Χριστὸς γεννᾶται	1	General Information:	If it would be more natural in your language, you could express this as an indirect quotation. Alternate translation: “He was asking them where the Messiah was supposed to have been born” (See: [[rc://en/ta/man/translate/figs-quotations]])	MAT 2:4
MAT	2	5	w68n	figs-ellipsis	ἐν Βηθλέεμ τῆς Ἰουδαίας	1	In Bethlehem of Judea	Matthew is leaving out some of the words that a sentence would need in many languages to be complete. If your readers might misunderstand this, you could supply these words from the context. Alternate translation: “He is supposed to have been born in Bethlehem, which is in the region of Judea” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	MAT 2:5
MAT	2	5	z2i4	figs-activepassive	οὕτως…γέγραπται διὰ τοῦ προφήτου	1	thus it has been written through the prophet	If your language does not use this passive form, you can state this in active form. Alternate translation: “this is what the prophet wrote long ago” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:5
MAT	2	6	kmw7	figs-apostrophe	καὶ σύ Βηθλέεμ, γῆ Ἰούδα, οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα; ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος, ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ	1	you, Bethlehem	Micah was speaking to **Bethlehem** as if it was a person. If this is confusing in your language, consider referring to Bethlehem in the third person. Alternate translation: “Bethlehem, in the land of Judah, is by no means the least among the leaders of Judah. For from this region a ruler will come who will shepherd my people Israel” (See: [[rc://en/ta/man/translate/figs-apostrophe]])	MAT 2:6
MAT	2	6	c2cl	figs-litotes	οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα	1	are by no means the least among the leaders of Judah	If **are by no means the least among the leaders of Judah** is confusing in your language, you can express the meaning positively. Alternate translation: “your town is among the most important towns in Judah” (See: [[rc://en/ta/man/translate/figs-litotes]])	MAT 2:6
MAT	2	6	rihn	figs-metonymy	ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος	1		When Matthew says **for from you will come out a ruler**, he is talking about from the people who live in Bethlehem. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “from your people a leader will come” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 2:6
MAT	2	6	tg5d	figs-metaphor	ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ	1	who will shepherd my people Israel	Micah speaks of this ruler as one who will **shepherd my people Israel**. This means he will lead and care for the people just like a shepherd cares for their animals. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternate translation: “who will lead my people Israel and take care of them” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 2:6
MAT	2	8	jtw7	figs-infostructure	καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν, πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου; ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ	1	might worship him	Herod first says **Having gone, search carefully for the young child, and after you have found him, report to me so that I also, having come, might worship him.** and then he **sent them to Bethlehem**. If it would be more natural in your language, you could reverse the order of these phrases. Alternate translation: “Herod said to the men who study the stars, “After you leave, search carefully for the young child, and after you have found him, report to me so that I also, having come, might worship him.” Then he sent them to Bethlehem” (See: [[rc://en/ta/man/translate/figs-infostructure]])	MAT 2:8
MAT	2	11	q8vp	figs-explicit	πεσόντες προσεκύνησαν αὐτῷ	1		In their culture, **falling down, they worshipped him** was something that was done to a king. This shows that they saw Jesus as the true king of the Jews. If it would be helpful to your readers, you could indicate that explicitly. Alternate translation: “They bowed down and honored the child as they would a king” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 2:11
MAT	2	11	r452	figs-metonymy	τοὺς θησαυροὺς αὐτῶν	1	their treasures	Here, **their treasures** refers to the boxes or bags they used to carry their treasures. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “the containers that held their treasures” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 2:11
MAT	2	11	kidl	figs-explicit	προσήνεγκαν αὐτῷ δῶρα	1		In some cultures, gifts are brought when you are meeting someone important to show that you honor them. If it would be helpful to your readers, you could indicate that explicitly. Alternate translation: “They offered him gifts to honor him” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 2:11
MAT	2	13	v88f	figs-explicit	ἕως ἂν εἴπω σοι	1	until I tell you	If your readers would misunderstand this phrase, you can make the full meaning of this statement explicit. Alternate translation: “until I tell you it is safe to come back” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 2:13
MAT	2	15	we5w	figs-activepassive	ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ προφήτου	1		If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “in order that God might prove true that which he spoke through the prophet Hosea” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:15
MAT	2	16	g513	figs-activepassive	ἐνεπαίχθη ὑπὸ τῶν μάγων	1	he had been mocked by the learned men	If your language does not use this passive form, you can state this in active form. Alternate translation: “the learned men had embarrassed him by tricking him” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:16
MAT	2	16	d8d5	figs-explicit	ἀποστείλας, ἀνεῖλεν πάντας τοὺς παῖδας	1	having sent forth, he killed all the male children	Herod sent other people to kill the **children**. If it would be helpful to your readers, you could express that explicitly. Alternate translation: “he gave orders for his soldiers to kill all the boys” or “he sent soldiers there to kill all the boy babies” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 2:16
MAT	2	17	l8g5	figs-activepassive	ἐπληρώθη τὸ ῥηθὲν	1	Then was fulfilled	See how your translated this in [2:15](../02/15.md) (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:17
MAT	2	18	k91t	figs-activepassive	φωνὴ…ἠκούσθη	1	A voice was heard	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “People heard a voice” or “People heard a sound” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:18
MAT	2	18	x062	figs-doublet	κλαυθμὸς καὶ ὀδυρμὸς πολύς	1		These two phrases mean basically the same thing. The repetition is used to emphasize that the sound of weeping was very loud. If your language does not use repetition to do this, you could use one phrase and provide emphasis in another way. Alternate translation: “much weeping” (See: [[rc://en/ta/man/translate/figs-doublet]])	MAT 2:18
MAT	2	18	zm17	figs-metonymy	Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς, καὶ οὐκ ἤθελεν παρακληθῆναι	1	Rachel weeping for her children	**Rachel** lived many years before this time. This prophecy depicts Rachel, who is represented by her descendants weeping over their children. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “the descendants of Rachel are weeping over their children, and no one can comfort them” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 2:18
MAT	2	18	rgg1	figs-activepassive	οὐκ ἤθελεν παρακληθῆναι	1	not willing to be comforted	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “no one could comfort her” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:18
MAT	2	18	p9ri	figs-euphemism	ὅτι οὐκ εἰσίν	1	because they are no more	Here, **they are no more** is a polite way of saying they are dead. If this would be misunderstood in your language, use a different polite way of referring to this or you could state this plainly. Alternate translation: “because they were dead” or “because the children were gone and would never return” (See: [[rc://en/ta/man/translate/figs-euphemism]])	MAT 2:18
MAT	2	20	hz2m	figs-euphemism	οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου	1	those who seek the life of the child	Here, **seeking the life of the child** is a way of saying they wanted to kill the child. If this would be misunderstood in your language, use a different polite way of referring to this or you could state this plainly. Alternate translation: “those who were looking for the child in order to kill him” (See: [[rc://en/ta/man/translate/figs-euphemism]])	MAT 2:20
