document_slug,document_title,pdf_page,printed_page,blank_page,english_ocr_confidence,arabic_ocr_confidence,quran_references_detected,arabic_segment_count,transcription_text,arabic_text
eternity_screenplay,ETERNITY - Screenplay,1,,False,84.67,,8:6,0,"Rashad Khalifa, Ph.D.
739 E. 6th Street
Tucson, AZ 85719

(602) 791-3989

ETERNITY

Screenplay

by

Rashad Khalifa, Ph.D.

Copyright © 1983 by Rashad Khalifa, Ph.D.",
eternity_screenplay,ETERNITY - Screenplay,2,,False,89.92,53.47,,0,"ETERNITY
 FADE IN
 EXT. STREET - DAY - ESTABLISHING SHOT
 with the Doric columned old building of the California Capitol in
 the background, sun rays splash off the tubas in a BRASS BAND
 playing cheerful music. A LARGE CROWD mumbles and bunches
 forward awaiting the Governor's arrival. A shiny black limo
 arrives, THE GOVERNOR heads for the official bunting draped dais,
 where a number of well dressed MEN AND WOMEN greet him warmly.
 After chatting for a few moments, the Governor and other dignitaries take their places at the dais. The Governor sits to the
 right of a rostrum studded with microphones, A DIGNIFIED WOMAN
 (JUDGE Malloy) sits at the left side of the rostrum,
 CLOSER SHOT - ROSTRUM
 Camera features the microphone studded rostrum, the Governor
 sitting to the right of the rostrum, and Judge Malloy sitting to
 the left. After conferring with the GENTLEMAN next to her, Judge
 Malloy stands up and heads for the rostrum, The crowd quiets
 down to a hush,
 With the rostrum in the center of the picture, Judge Malloy opens
 the ceremony.
 JUDGE Malloy
 We are honored to welcome Governor
 Delaney to this historic event, on
 this historic day, March First
 1985. In just a few moments, we
 will receive a special message from
 the people who founded the
 California Republic, fought and
 struggled to secure its
 independence, then, in 1&5, made
 it part of the greatest country in
 the world, the United States of
 America.
 The crowd applauds.
 JUDGE DALLAS
 And now, it gives me pleasure to
 introduce to you the man. who will
 supervise this event, Governor",
eternity_screenplay,ETERNITY - Screenplay,3,,False,92.05,,,0,"Page 2 - ETERNITY
 Delaney.
 The governor stands up amid cheers and applause, shakes hands
 with Judge Mailoy, then walks to the microphones. MEDIA PHOTO-
 GRAPHICS flash their cameras, and TV CAMBRAMEN zoom in on the
 Governor.
 GOVERNOR
 Thank you very much, judge Malloy.
 Ladies .and gentlemen, I am sure I
 bored you to death with my
 political speeches,...
 Scattered laughter and cheers.
 GOVERNOR
 so, let us get down to action right
 away. These gentlemen in front of
 you will soon uncover the time
 capsule we have so eagerly awaited,
 Camera ZOOMS AWAY, follows the direction in which he points, and
 focuses on a pick up truck belonging to the State of California,
 carrying hoes and other tools. MEN are standing next to it,
 looking at the governor as he talks.
 GOVERNOR
 Our fortunate generation will soon
 learn a little more of the
 magnificent history of early
 California, the lives and struggles
 of the California pioneers, and
 especially the events surrounding
 the historic day of September 9,
 1856, when the great State of
 California became the thirty first
 member of the union.
 {Looking at the men with
 the pick up truck.)
 Gentlemen, now you may dia out the
 capsule.
 The men take out hoes and other tools from the truck, and dia
 around a rectangular granite stone.
 CU ~ RECTANGULAR GRANITE STONE
 The stone is engraved with the words:",
eternity_screenplay,ETERNITY - Screenplay,4,,False,86.89,42.07,,0,"Page 3 ~ ETERNITY
 INSERT:
 8 5 wee ee ge ge
 UNDER THIS STONE LIES A CAPSULE CONTAINING A
 MESSAGE. FROM THE PEOPLE OF CALIFORNIA 1885
 TO THE PEOPLE OF CALIFORNIA 1985,
 (March 1, 1885)
 The men remove the stone and some dirt, exposing a wooden box.
 They extract the box, and hand it to the governor, One man with
 hammer helps the governor remove the nails and open the box,
 The governor takes out a wad of newspapers, unwraps them, then
 holds up a metal cylinder about 14 inches long and 7 inches wide.
 The crowd cheers,
 Camera ZOOMS IN on the old metal cylinder.
 CU - METAL CYLINDER'S TAG
 The metal tag carries an embossed message:
 INSERT:
 REKKKKEKEKEKEKEKEKEKEREEEEKEKEKKKKKKKKKKKK
 California Republic - California State
 (1858 + 1885)
 KARKEKEKEEKKEKREKEKEEREKEKUEKREKRUEEEREEKEEERER
 Camera PANS the crowd, then ZOOMS IN on 2 LITTLE GIPL carrying a
 PUPPpy.-The girl looks at HFR MOTHER and asks.
 LITTLE GIPL
 Is this the time capsule, Mom?
 MOTHER
 Yes honey. It was buried for a
 hundred years.
 GIRL
 Wow! what's in it?
 MOTHER
 {Impatiently)
 We'll soon find out.",
eternity_screenplay,ETERNITY - Screenplay,5,,False,89.25,39.44,,0,"Page 4 - ETERNITY
 The governer struggles to open the cylinder. Camera ZOOMS AWAY
 to show him signaling to one of the workers for a tool.
 The Governor pries open the capsule, looks in it, then hands it
 ever to Judge Malloy. Judge Malloy takes the cylinder, then
 approaches the rostrum with the governor still standing beside
 her. While reaching inside the cylinder, she addresses the
 crowd.
 JUDGE Malloy
 The moment you've been waiting for.
 She removes a thick roll of newspapers from the metal cylinder,
 opens it up, ‘and finds another sealed cylinder wrapped in the
 toil of old newspapers.
 THE SMALLER CYLINDER is about 6 inches long and 2 inches wide.
 fre holds up the small cylinder, and speaks into the microphones.
 JUDGE Malloy
 .My goodness! We have a time
 ' Capsule within a time capsule.
 (Looking at the Governor)
 This one is addressed specifically
 to you Mr, Governor.
 Judge Malloy hands the smaller cylinder to Governor Delaney. He
 examines the cylinder and appears to be reading the message
 Embossed on its side:
 A fetal tag carrying an embossed message:
 INSERT:
 TO BE OPENED BY THE GOVERNOR OF CALIFORNIA, 1985,
 SIXTY DAYS AFTER OPENING THE PRIMARY CAPSULE.
 GOVERNOR
 (Speaking in microphones)
 folks Like we will have
 another ceremony on May First.
 t invite the media to my
 efftce on May First, ten AM,
 to catty the official opening
 CE this secondary capsule,",
eternity_screenplay,ETERNITY - Screenplay,6,,False,92.79,,,0,"Page 5 - ETERNITY
 Thank you.
 Cerera ZOOMS IN on Judge Malloy as she opens up the stack of old
 newspapers. She takes out one newspaper at a time and reads the
 head.ines into the microphones.
 Camera 200/5 IN on each headline.
 JUDGE Malloy
 This is The Hartford Courant:
 CALIFORNIA JOINS THF UNION,
 This is The Nashville Tennessean:
 LINCOLN EMANCIPATES THRE SLAVES.
 This is The Philadelphia Enquirer:
 LINCOLN SHOT IN THEATRE.
 This is The Alexandria Gazette:
 _LEE SURRENDERS.
 This is the New York Sun:
 GRANT SWORN IN.
 Judge Malloy pulls a rolled parchment out of the capsule, appears
 to read it seriously, then holds up the parchment and addresses
 the crowd,
 JUDGE Malloy
 This is an announcement signed by
 Barclay Leland Stamford, the famous
 California pioneer, bequeathing one
 million acres of prime California
 land, from San Francisco to Santa
 Barbara, to his rightful heir.
 The crowd rumours.
 JUDGE Malloy
 The announcement says that Mr,
 stamford heir shall come forward
 with the will within thirty days
 from now, in order to claim his or
 her fortune. It is supposed to be
 an extensive will, consisting of
 ten chapters, and was passed down
 through the Stamford family from
 Mr. Stamford to the lucky
 inheritor. So, with great
 anticipation, we expect the
 fortunate person to present the
 will to me before the end of March.",
eternity_screenplay,ETERNITY - Screenplay,7,,False,93.0,,,0,"Page §& ~ ETERNITY
 \ The property reverts to the State
 of California if not claimed within
 9 days from now,
 INT, CBS TELEVISION STUDIO - NIGHT
 the CBS Evening News with DAN RATHER is about to go on the air.
 TECHNICIANS are preparing to air the news. Nan Rather opens with
 news of the Stamford will.
 CLOSE SHOT ~ DAN RATHER (fixing his tie, sweater, and jacket)
 ANNOUNCER {V.0.)
 This is the CBS evening news with
 Dan Rather, March First 1985,
 DAN RATHER
 Good evening, California's century
 old capsule was opened today in an
 official ceremony headed by
 Governor Delaney. As it turned
 out, 1
 INT. LIVING ROOM ~ NIGHT
 Middle aged HUSBAND in a recliner chair is holding a magazine in
 his hand. He moves his eyes beck and forth between the magazine
 and the Tv.
 WIFE is sitting at one end of a large sectional sofa, while teen
 age DAUGHTER is laying down lazily at the other end, chewing gum.
 Without interrupting the flow of the news, Nan Rather continues
 his report.
 DAN RATHER (On TV screen)
 the capsule gave birth to 4 smaller
 time capsule to be opened by the
 Governor on May First, sixty days
 from now.
 200m SHOT ~ TV screen
 (Den Rather continues)
 The capsule yielded another
 surprise, and ED BRADLEY was there
 to tell us about it. Ed!
 FD BRADLEY (On TV screen}",
eternity_screenplay,ETERNITY - Screenplay,8,,False,91.46,,,0,"Page 7 ~ ETERNITY
 Nan, some lucky person is destined
 to inherit a fortune left by
 Barclay Leland Stamford, A
 parchment was found in the time
 capsule announcing thet the
 California pioneer has left an
 extensive will, consisting of ten
 chapters, Detailing his life
 experiences, knowledge, and advice,
 and bequeathing more than a billion
 dollars worth of real estate to the
 lucky = inheritor. There is a
 possibility, Dan, that the will is
 lost or misplaced and may never be
 found, stamford announcement
 Stipulates that if no one comes
 forward with the will within 36
 days, or the property is not
 claimed within 98 days, the
 property reverts to the State of
 California. So, we'll Just have to
 wait and see what happens.
 INSERT:
 Various kinds of calendars (digital, desk, wall, etc.)
 indicate
 the passage of the 34 day period, interspersed with newspaper
 headlines, radio reports, and TV newscasts stating:
 SIX PEOPLE CLAIM TO BE STAMFORD BRITS;
 STAMFORD
 GOVERNOR DELANEY APPOINTS COMMITTEE TO EXAMINE THR.
 WILLS;
 MORE THAN A HUNDRED WILLS SUBMITTED SO FAR;
 STAMFORD WILL COMMITTEE HIRES HAND WRITING ANALYSTS;
 836 CLAIMANTS FOR THE STAMFORD FORTUNE;
 €36 THE FINAL COUNT;
 HANDWRITING EXPERTS EXCLUDE 798 WILLS AS BOGUS;
 EXPERTS AGREE: 38 WILLS MATCH STAMFORD HANDWRITING.
 INT. GOVERNOR'S OFFICE ~ DAY
 “SERGPAPER AND TV CORRESPONDENTS gather in the Governor's office
 to broadcast the ceremony for opening the secondary capsule.",
eternity_screenplay,ETERNITY - Screenplay,9,,False,89.62,,,0,"Page 8 + ETERNITY
 GOVERNOR DELANEY
 well, ladies and gentlemen, May
 First is finally here, and, as
 stipulated by the fathers of
 California, we are here to open the
 secondary capsule, This is
 certainly a unique experience. I
 have never heard of a time capsule
 within a time capsule; have you?
 Well, be that as it may, let us see
 what kind of surprise this capsule
 brings. Not another capsule, I
 hope.
 JUDGE Malloy
 That would be an old California
 joke,
 The crowd laughs,
 then quiets down as the governor
 breaks the
 capsules seal. The suspense heightens. The governor pulls out
 a single sheet of rolled Parchment.” He opens it, as the Tv
 cameras zoom in.
 CLOSE SHOT - THR PARCHMENT
 GOVERNOR DELANEY (V.0.)
 Well, well, well; it has to do with
 the Stamford will. Maybe this
 Piece of paper will solve the
 puzzle of 38 authentic wills,
 Ladies and gentlemen, here is what
 the document says:
 In Barclay Stemford's handwriting,
 the contents of the parchment
 CAMERA MOVES DOWN the = parchment
 are readable.
 with the
 Governor's voice, as far as point No. 3.
 INSERT:
 I Barclay Leland Stamford have
 written this message in secrecy,
 even without my lawyer, in order to
 provide inviolable authenticating
 proof for my will. I have coded my
 will mathematically as follows:
 REKKEKEKKEEEKERAKIEN
 1, Chapter One contains 722 M's.",
eternity_screenplay,ETERNITY - Screenplay,10,,False,91.44,,,0,"Page 9 << ETERNITY
 \
 2. ‘ Chapter Two contains 2014 A'‘s,
 688 G's, and 959 R's.
 3. Chapters Three and Nine contain
 a total of 228 C's.
 INT, CALIFORNIA CAPITOL = CONFERENCE ROOM - DAY
 The Stamford Will Committee (FIVE MEN and THREE WOMEN), chaired
 by Judge Malloy, is shown sitting at a large conference table.
 Coffee cups, empty glasses, soda bottles, lunch bags, left-over
 sandwiches, and scattered papers and pencils are all over the
 table,
 Stacks of booklets (the wills) are visible on the table.
 The committee members look exhausted. Each member is holding a
 photocopy of one of the Stamford wills, and following the
 particulars of its mathematical code as recited by Judge Malloy.
 Judge Malloy begins where Governor Delaney's voice faded away.
 Camera ZOOMS IN on the members’ faces, and on the hand-written
 will, pointing out details of the code.
 JUDGE Malloy (V.0.)
 This is the only will so far that
 conforms to the code. I am almost
 positive, now, that this is it.
 Let uS move on to item number four.
 Item number four says:
 Chapters Four and Six consist of
 nine paragraphs. Here is Chapter
 Four, and it contains one, two,
 three, four ...four paragraphs.
 This means Chapter Six should
 consist of five paragraphs; and...
 it sure does.
 All members confirm that Chapters Four and Six of the will do
 cvatatn nine paragraphs.
 ADOLF on each one of the eight members (the five men and three
 women) shows each of them somehow confirming that he or she has
 Counted nine paragraphs in Chapters Four and Six. 1",
