verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,label_present_in_later_edition_csv
1:1,1,"This opening statement of Quran is the foundation upon which a miraculous numerical code is built. This code, which remained a divinely guarded secret for 1400 years, presents to the world the first physical, touchable, and utterly indisputable proof that this Quran is a divine scripture. The Quran’s miraculous numerical code is so intricate that it leaves no doubt that the Quran is the word of God, and that it has been perfectly protected from the slightest distortion, addition, or loss. Yet it is so simple that any person can fully appreciate its significance. There is no greater acknowledgement than God’s own description of this Quranic code as “one of the greatest miracles” (74:35). It was the will of the Almighty to bless this very translation with the exclusive discovery of this profound miracle, as a clear sign of divine approval and authorization. The opening statement (verse 1 of sura 1) consists of 19 Arabic letters, and this is the number upon which the Quran’s numerical code is based (see Appendix 1 for details). Every word in the opening statement is mentioned throughout the Quran a number of times which is consistently a multiple of 19. Thus, the first word (Ism=name) is found in the Quran exactly 19 times; the second word (Allah=God) is mentioned 2,698 times (19x142); the third word (Al-Rahman=most gracious) is mentioned 57 times (19x3); and the last word (Al-Raheem=most merciful) is mentioned 114 times (19x6). The reader, therefore, is handed at the outset physical proof that Quran is God’s message to humanity. Of the millions of books in existence, how many will exhibit this elaborate phenomenon; that the opening statement consists of an “X” number of letters, and every word in the statement is mentioned throughout the book a multiple of “X”? Although this unique phenomenon is a minute portion of the Quran’s numerical miracle, the renowned journal “SCIENTIFIC AMERICAN’’ described it as “an ingenious study of Quran/’ (September 1980, pp 22-24).","This opening statement of Quran is the foundation upon which a
miraculous numerical code is built. This code, which remained a divinely
guarded secret for 1400 years, presents to the world the first physical,
touchable, and utterly indisputable proof that this Quran is a divine scripture.
The Quran’s miraculous numerical code is so intricate that it leaves no doubt
that the Quran is the word of God, and that it has been perfectly protected
from the slightest distortion, addition, or loss. Yet it is so simple that any
person can fully appreciate its significance. There is no greater
acknowledgement than God’s own description of this Quranic code as “one
of the greatest miracles” (74:35). It was the will of the Almighty to bless this
very translation with the exclusive discovery of this profound miracle, as a
clear sign of divine approval and authorization.
The opening statement (verse 1 of sura 1) consists of 19 Arabic letters, and
this is the number upon which the Quran’s numerical code is based (see
Appendix 1 for details). Every word in the opening statement is mentioned
throughout the Quran a number of times which is consistently a multiple of 19.
Thus, the first word (Ism=name) is found in the Quran exactly 19 times; the
second word (Allah=God) is mentioned 2,698 times (19x142); the third word
(Al-Rahman=most gracious) is mentioned 57 times (19x3); and the last word
(Al-Raheem=most merciful) is mentioned 114 times (19x6). The reader,
therefore, is handed at the outset physical proof that Quran is God’s message
to humanity. Of the millions of books in existence, how many will exhibit this
elaborate phenomenon; that the opening statement consists of an “X” number
of letters, and every word in the statement is mentioned throughout the book a
multiple of “X”? Although this unique phenomenon is a minute portion of the
Quran’s numerical miracle, the renowned journal “SCIENTIFIC AMERICAN’’
described it as “an ingenious study of Quran/’ (September 1980, pp 22-24).",13,1,"[167.0, 1080.448, 1665.98, 2532.639]",True
2:1,2,"The meaning or significance of these Quranic initials remained unknown for 1400 years, since the revelation of Quran. Now we recognize them as a part of the Quran’s numerical miracle. These letters, as it turned out, provide the proof that this scripture is the infallible word of God (see Appendix 1).","The meaning or significance of these Quranic initials remained unknown
for 1400 years, since the revelation of Quran. Now we recognize them as a part
of the Quran’s numerical miracle. These letters, as it turned out, provide the
proof that this scripture is the infallible word of God (see Appendix 1).",14,2,"[49.0, 1972.779, 1542.992, 2212.939]",True
2:3,2,"Such as God, the hereafter, the angels, the jinns, and satan.","Such as God, the hereafter, the angels, the jinns, and satan.",14,2,"[53.0, 2212.494, 1357.001, 2300.13]",True
2:3,2,"The word “salat” designates a specific set of actions, including bowing, prostrating, and reciting specific words. The salat prayers must be observed at five specific times each day. The word “prayer” alone is not sufficient to describe this important religious duty.","The word “salat” designates a specific set of actions, including bowing,
prostrating, and reciting specific words. The salat prayers must be observed at
five specific times each day. The word “prayer” alone is not sufficient to
describe this important religious duty.",14,2,"[51.0, 2290.779, 1545.01, 2530.575]",True
2:20,2,"“He"" does not imply gender in the Arabic language. God Almighty is neither male nor female. Is this why Arabic was chosen for the final scripture? See Appendix 3.","“He"" does not imply gender in the Arabic language. God Almighty is
neither male nor female. Is this why Arabic was chosen for the final scripture?
See Appendix 3.",15,3,"[169.0, 2360.805, 1663.986, 2544.812]",True
2:29,2,"Our immediate universe includes 100 billion galaxies and a billion trillion stars, at distances of millions of light years. All this incredible vastness is only part of the lowest and smallest “heaven. ” Six more larger heavens surround our innermost, small heaven, and all seven heavens are within God’s “right hand. ” (see Appendbc 5, and 39:67). Yet some people are ignorant enough to idolize such minute and powerless mortals as Jesus, Muhammad, and various saints.","Our immediate universe includes 100 billion galaxies and a billion trillion
stars, at distances of millions of light years. All this incredible vastness is only
part of the lowest and smallest “heaven. ” Six more larger heavens surround
our innermost, small heaven, and all seven heavens are within God’s “right
hand. ” (see Appendbc 5, and 39:67). Yet some people are ignorant enough to
idolize such minute and powerless mortals as Jesus, Muhammad, and various
saints.",16,4,"[57.0, 2017.805, 1552.012, 2413.506]",True
2:30,2,What is the purpose behind our creation? Why are we here? See Appendix 6.,"What is the purpose behind our creation? Why are we here? See
Appendix 6.",16,4,"[59.0, 2411.779, 1551.996, 2546.411]",False
2:33,2,See Appendix 6 for the details of satan’s fall from angelhood.,See Appendix 6 for the details of satan’s fall from angelhood.,17,5,"[183.0, 1910.191, 1524.991, 1996.909]",False
2:39,2,"God speaks frequently in the plural. This invariably indicates participation of the angels, and God’s will to give them credit for their participation. For example, God’s revelations to us were brought down by the angel Gabriel, hence the statement “our revelations. ” On the other hand, God speaks in the singular where the action is exclusively His, such as worship (see 20:14, 21:25, 21:92, 29:56, and 36:61). When God spoke to Moses (20:12-14) without the mediation of any angels, we find that God speaks in the singular.","God speaks frequently in the plural. This invariably indicates
participation of the angels, and God’s will to give them credit for their
participation. For example, God’s revelations to us were brought down by the
angel Gabriel, hence the statement “our revelations. ” On the other hand, God
speaks in the singular where the action is exclusively His, such as worship (see
20:14, 21:25, 21:92, 29:56, and 36:61). When God spoke to Moses (20:12-14)
without the mediation of any angels, we find that God speaks in the singular.",17,5,"[184.0, 1978.805, 1679.992, 2373.575]",False
2:40-123,2,Why are the children of Israel so frequently mentioned throughout the Quran? See footnote 4:153 for the parallel between the followers of Moses and the followers of Muhammad.,"Why are the children of Israel so frequently mentioned throughout
the Quran? See footnote 4:153 for the parallel between the followers of Moses
and the followers of Muhammad.",17,5,"[185.0, 2361.779, 1679.003, 2547.812]",False
