pdf_page,printed_page,reason
24,182,This appears to be the concluding page of the Qadhafi article on 'The Third International Theory' (pp. 179-182). Right column of the facing page (poem 'O Allah' beginning) was cropped/illegible and belongs to the next transcribed page.
28,186,Right column (continuation of numbered points 2-4) was cropped/illegible and continues on the following page.
32,190,This page reproduces a 1975 St. Louis Post-Dispatch newspaper article referenced in Khurshid Ahmad's essay; the footnotes column visible on the facing page (right side) was cropped/illegible in the photo and is transcribed separately from the following page where legible.
34,192,Third installment of a series by Professor M. Farid Wajdi on Islam's mission in the world; the article's first two installments appear to have run in earlier issues. 'Jules Le Baum' spelling as printed; this may be a rendering of a French orientalist's name that could not be independently verified from this page alone.
36,194,"Right-hand column continuing the argument (about 'the second great principle', partly visible) was cropped/illegible in the source photo and picked up again in the next transcribed page."
40,198,"New article begins here: 'The Falsification of Hadith: History and Development' by Muhammad 'Ajjaj Al-Khatib. Right-hand column (numbered list describing factional groups: majority/legitimists, party of Mu'awiyah, Khawarij, Shi'a/Ahlul Bait) was cropped/illegible in the source photo except for partial phrases, and is not fully transcribed; visible fragments include references to 'the party of M[u'awiyah]', 'the Khawarij', and formation of 'the Shi'[a]' and 'Bait ('Ali's fami[ly])'."
51,211,Continuation of the reprinted 'Islamic Affairs' newsletter excerpt. Arabic hadith text in the lower portion of the page is in a stylized decorative script and only partially legible; transcription of that specific line is low-confidence and should be checked against the source scan.
52,212,"The facing right-hand page in this photo (visible partially) contains what appears to be a separate handwritten/annotated Arabic marginal commentary in a different (redder, cursive) ink, distinct from the printed main text; it is largely illegible in this image and was not transcribed. Left page transcribed in full; Quran citations (2:207, 33:33) are as printed in the source, not independently re-verified against a Quran text."
64,226,"Some phrases at top edge are cut off/illegible (left margin bleeds into gutter of previous page). Footnotes list al-Muntaqa min minhaj al-i'tidal, al-jami' li-akhlaq al-rawi wa-adab al-sami'."
126,290,"Diacritics on Hud, Salih, Thamud flattened to plain ASCII. Right margin of page shows partial reversed/mirror-visible text from an adjoining page bleeding through, not transcribed as it is illegible/out of scope."
131,295,Faint text of an advertisement page (words 'ADVERTISING RATES' partially legible in reverse/ghost print) bleeds through from the following page; not transcribed as it is illegible and duplicated fully on page 132.
