pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
3,,1,"[0.081181, 0.256979, 0.929889, 0.284072]",جد جد جد جد جد جد جد جد + جد جد جد داج + جد جد جد EEE‏ + جاخ جد + داج,جد جد جد جد جد جد جد جد + جد جد جد داج + جد جد جد EEE‏ + جاخ جد + داج,,0,47.2,ocr_unverified_arabic
7,3,1,"[0.32746, 0.58737, 0.701909, 0.594291]",ع و ييه بي و يي يي ييه‎,ع و ييه بي و يي يي ييه‎,,0,21.39,ocr_unverified_arabic
9,58,1,"[0.172043, 0.332494, 0.670699, 0.34005]",ييه يع يجيي يي يي يي يم يوم مي يعي,ييه يع يجيي يي يي يي يم يوم مي يعي,,0,26.64,ocr_unverified_arabic
10,6,1,"[0.514865, 0.361558, 0.686486, 0.618967]","سات مويه Sl‏ طساس امو ع ا
azo‏ ع و ل ع د ل م ع م د سعد ماع جد","سات مويه Sl‏ طساس امو ع ا
azo‏ ع و ل ع د ل م ع م د سعد ماع جد",,0,39.825,ocr_unverified_arabic
11,7,1,"[0.235127, 0.181818, 0.626062, 0.189537]",عي وي م عي يمي يي‎,عي وي م عي يمي يي‎,,0,26.66,ocr_unverified_arabic
14,10,1,"[0.283765, 0.110645, 0.658936, 0.117351]",عع يي يي يي يي م يمي يميه,عع يي يي يي يي م يمي يميه,,0,25.86,ocr_unverified_arabic
20,16,1,"[0.352703, 0.079623, 0.737838, 0.104452]",موه موف ممه ممم مومه,موه موف ممه ممم مومه,,0,9.71,ocr_unverified_arabic
20,16,2,"[0.352703, 0.124144, 0.736486, 0.131849]",عع يي يي,عع يي يي,,0,25.25,ocr_unverified_arabic
20,16,3,"[0.213514, 0.868151, 0.831081, 0.886986]",4 لان > 11771 تطعه‎ 69,4 لان > 11771 تطعه‎ 69,,0,72.91,ocr_unverified_arabic
21,7,1,"[0.233062, 0.094828, 0.605691, 0.101724]",عي يي يجي يي يم يعي,عي يي يجي يي يم يعي,,0,19.69,ocr_unverified_arabic
