xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n40001001001	MAT 1:1!1		noun	common			[The] book	Βίβλος	 	βίβλος	Βίβλος	976	N-NSF		singular	feminine	nominative					033005	33.38			
n40001001002	MAT 1:1!2		noun	common			of [the] genealogy	γενέσεως	 	γένεσις	γενέσεως	1078	N-GSF		singular	feminine	genitive					010002 033003	10.24 33.19			
n40001001003	MAT 1:1!3		noun	proper			of Jesus	Ἰησοῦ	 	Ἰησοῦς	Ἰησοῦ	2424	N-GSM		singular	masculine	genitive					093001	93.169a			
n40001001004	MAT 1:1!4		noun	proper			Christ	Χριστοῦ	 	Χριστός	Χριστοῦ	5547	N-GSM		singular	masculine	genitive					093001	93.387			
n40001001005	MAT 1:1!5		noun	common			son	υἱοῦ	 	υἱός	υἱοῦ	5207	N-GSM		singular	masculine	genitive					010002	10.30			
n40001001006	MAT 1:1!6		noun	proper			of David	Δαυεὶδ	 	Δαυίδ	Δαυείδ	1138	N-PRI		singular	masculine	genitive					093001	93.91			
n40001001007	MAT 1:1!7		noun	common			son	υἱοῦ	 	υἱός	υἱοῦ	5207	N-GSM		singular	masculine	genitive					010002	10.30			
n40001001008	MAT 1:1!8		noun	proper			of Abraham	Ἀβραάμ	.	Ἀβραάμ	Ἀβραάμ	11	N-PRI		singular	masculine	genitive					093001	93.7			
n40001002001	MAT 1:2!1	s	noun	proper			Abraham	Ἀβραὰμ	 	Ἀβραάμ	Ἀβραάμ	11	N-PRI		singular	masculine	nominative					093001	93.7			
n40001002002	MAT 1:2!2	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002001 A1:n40001002004		
n40001002003	MAT 1:2!3		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001002004	MAT 1:2!4		noun	proper			Isaac	Ἰσαάκ	,	Ἰσαάκ	Ἰσαάκ	2464	N-PRI		singular	masculine	accusative					093001	93.180			
n40001002005	MAT 1:2!5	s	noun	proper			Isaac	Ἰσαὰκ	 	Ἰσαάκ	Ἰσαάκ	2464	N-PRI		singular	masculine	nominative					093001	93.180			
n40001002006	MAT 1:2!6		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001002007	MAT 1:2!7	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002005 A1:n40001002009		
n40001002008	MAT 1:2!8		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
